created_at,tweet_text,retweet_count,author,hashtags
Sun Feb 16 15:13:46 +0000 2020,"RT @cviconnect: The iPad not only has several available apps that offer great learning and intervention opportunities for your CVI child, i…",1,glensheader,
Sun Feb 16 15:13:27 +0000 2020,"@iwootten @joshwilburne @andybudd Peppa pig is gold if you have kids. Its value far outweighs anything else.

It's… https://t.co/dOgDpEH9Gq",0,dsigndby,
Sun Feb 16 15:12:34 +0000 2020,"RT @UofARehabRobot: UNDERGRAD RESEARCH OPPORTUNITY @UofARehabRobot! Want to earn $5000 this summer? Interested in VR, virtual health, tele-…",13,MalihehHB,
Sun Feb 16 15:12:07 +0000 2020,RT @LibrarianJamia: @NoetheMatt My husband trains people all the time on how to properly use a microphone so @ALALibrary let me know.  I wi…,1,libconferences,
Sun Feb 16 15:11:41 +0000 2020,"RT @Talen_Lee: Oh hey, so Ikea's naming convention is a dyslexia accessibility tool, and it wound up becoming a part of their branding that…",26,shrikeworks,
Sun Feb 16 15:11:31 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,spacegothkun,
Sun Feb 16 15:10:59 +0000 2020,RT @mtholfsen: Looking for the languages that Office Lens supports w/ optical character recognition (OCR)? Check out the list below 👇  All…,18,BeckyKeene,
Sun Feb 16 15:10:37 +0000 2020,"RT @josh_guberman: When I started my PhD, a professor told me I shouldn't do the research I went to grad school do because ""accessibility i…",14,im__jane,
Sun Feb 16 15:09:58 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,nu_exooo,
Sun Feb 16 15:09:46 +0000 2020,RT @Omkar_Raii: The repurposing of existing drugs to treat new diseases by researchers from the School of Medical Science and Technology at…,160,sgrajanblr,
Sun Feb 16 15:09:11 +0000 2020,"RT @jordyn2493: hey @girlscouts I'd love to order cookies, but cannot select a shipping method using my screen reader. Please consider acce…",2,Rhodie_frutch,
Sun Feb 16 15:08:49 +0000 2020,"@BeerOClockShow Beer is better in almost every way.
Better quality
Better range
Better accessibility 
Better drive… https://t.co/PYr7pcE1f4",0,brownhill87,
Sun Feb 16 15:06:42 +0000 2020,"RT @RichardBurgon: As nominations close I want to say a huge thank you to Labour members who voted to nominate me as Deputy Leader.

But to…",592,parabollax,
Sun Feb 16 15:06:25 +0000 2020,"Want to work at CVS Health? We're hiring in Boston, MA! Click for details: https://t.co/uMjdUXqbso #JobOfTheDay #IT",0,CVSCareers,JobOfTheDay IT
Sun Feb 16 15:06:11 +0000 2020,@Niki_White Hi Niki! This is currently available on most supported devices for select content:… https://t.co/z5Wod5tuEl,0,hulu_support,
Sun Feb 16 15:05:51 +0000 2020,"RT @Page_888: #Subtitled on @TalkingPicsTV tomorrow...
(Freeview: 81  Freesat: 306  Sky: 328  Virgin: 445)
""What a Whopper!"".
""Flood Tide"".…",1,TalkingPicsTV,Subtitled
Sun Feb 16 15:03:19 +0000 2020,"RT @Talen_Lee: Oh hey, so Ikea's naming convention is a dyslexia accessibility tool, and it wound up becoming a part of their branding that…",26,wundermoth,
Sun Feb 16 15:03:04 +0000 2020,"@c0nc0rdance I think important things to consider are:
1. What level of suffering is judged to be “too much”. 
2. T… https://t.co/0GPXz0WhMZ",0,M3rcapt4n,
Sun Feb 16 15:01:55 +0000 2020,RT @jamesvgingerich: #AI helps this chatbot make the world more accessible for visually impaired persons.  (Oxford University) #Accessibili…,1,LazyBot6,AI
Sun Feb 16 15:01:25 +0000 2020,RT @MOVE_texas: Harris County is leading the country right now in voter accessibility. If @HarrisVotes can increase access in one of the la…,15,LWVCyFair,
Sun Feb 16 15:00:58 +0000 2020,RT @Fradgie: This is totally unacceptable - “keeping people safe” &amp; respecting #accessibility are not bloody slogans to be parrotted - it’s…,0,GordonDudman,accessibility
Sun Feb 16 15:00:56 +0000 2020,@stevenmweisberg @uscensusbureau ...basic accessibility such as this and you should 'make up'  bottom line in other… https://t.co/zUNp8cIqRR,0,steministemily,
